IDX_SIM,INPUT1,INPUT1_ENG,INPUT2,INPUT2_ENG
1,메르스,MERS,중동호흡기증후군,Middle East respiratory syndrome
2,포비돈,povidone,베타딘,betadine
3,아픽사반,apixaban,항혈전제,antithrombotic
4,진해제,antitussive,코데인,codeine
5,발진티푸스,typhus,장티푸스,typhoid
6,골수생검,bone marrow biopsy,골수흡인,bone marrow aspiration
7,혈액투석,hemodialysis,신대체요법,renal replacement therapy
8,고혈압약,high blood pressure medication,발사르탄,valsartan
9,결장암,colon cancer,직장암,rectal cancer
10,신경내분비암종,neuroendocrine carcinoma,신경내분비종양,neuroendocrine tumor
11,피부성형,skin plastic surgery,주름제거,wrinkle removal
12,기관지천식,bronchial asthma,천식발작,asthma attack
13,수막염,meningitis,뇌막염,meningitis
14,기관지연축,bronchospasm,기관지수축,bronchospasm
15,항콜린제,anticholinergic drugs,아트로핀,atropine
16,버거병,Buerger's disease,혈관병,vascular disease
17,뇌경색,cerebral infarction,허혈뇌졸중,ischemic stroke
18,혈관절증,hemarthrosis,관절증,arthrosis
19,삼킴곤란,dysphagia,연하곤란,dysphagia
20,통증,ache,고통,pain
21,수막뇌염,meningoencephalitis,일본뇌염,Japanese encephalitis
22,골이식,bone graft,뼈이식,bone graft
23,지주막하출혈,subarachnoid hemorrhage,거미막밑출혈,subarachnoid hemorrhage
24,요로감염,urinary tract infection,방광염,cystitis
25,울혈,congestion,폐부종,pulmonary edema
26,치은염,gingivitis,치주염,periodontitis
27,뇌전증약,epilepsy drug,발프로산,valproic acid
28,스티렌,styrene,스틸렌,styrene
29,수면장애,sleep disturbance,기면,lethargy
30,심장근육병,heart muscle disease,심근병증,cardiomyopathy
31,혈압상승제,blood pressure booster,승압제,vasopressor drugs
32,호흡부전,respiratory failure,급성호흡곤란증후군,acute respiratory distress syndrome
33,무지외반증,hallux valgus,엄지발가락가쪽휨,hallux valgus
34,라미부딘,lamivudine,클레부딘,clevudine
35,교모세포종,glioblastoma,신경모세포종,neuroblastoma
36,입냄새,bad breath,구취,bad breath
37,광견병,rabies,공수병,rabies
38,조현병,schizophrenia,정신분열병,schizophrenia
39,알츠하이머병,Alzheimer's disease,치매,dementia
40,리도카인,lidocaine,마취제,anesthetic
41,언어상실증,aphasia,언어장애,language disorder
42,폐렴구균백신,pneumococcal vaccine,프리베나,privena
43,프로포폴,propofol,미다졸람,midazolam
44,테오필린,theophylline,기관지확장제,bronchodilator
45,관절강직,joint stiffness,관절구축,joint contracture
46,만성췌장염,chronic pancreatitis,급성췌장염,acute pancreatitis
47,두개내출혈,intracranial hemorrhage,뇌내출혈,cerebral hemorrhage
48,테트라사이클린,tetracycline,독시사이클린,doxycycline
49,아편유사제,opioid,헤로인,heroin
50,국소피부경화증,localized scleroderma,피부경화증,scleroderma
51,전염병,infectious disease,감염병,infectious diseases
52,인슐린,insulin,당뇨병약,diabetes medication
53,클로로퀸,chloroquine,항말라리아제,antimalarial drugs
54,아스피린,aspirin,항혈소판제,antiplatelet drugs
55,방사선요법,radiation therapy,화학방사선요법,chemoradiotherapy
56,물리치료,physiotherapy,물리요법,physical therapy
57,망막염,retinitis,망막병증,retinopathy
58,신경절종,ganglionoma,신경교종,glioma
59,쇠약,weakness,쇠퇴,degeneration
60,발달지연,developmental delay,발달장애,developmental disability
61,강직간대발작,tonic clonic seizure,경련발작,convulsive seizure
62,안구돌출,eye protrusion,갑상샘눈병증,thyroid ophthalmopathy
63,고지혈증,hyperlipidemia,지질혈증,lipidemia
64,메스꺼움,nausea,구역질,nausea
65,췌장절제,pancreatic resection,췌십이지장절제,pancreaticoduodenectomy
66,심장마비,heart attack,심폐정지,cardiopulmonary arrest
67,소세포암종,small cell carcinoma,소세포폐암,small cell lung cancer
68,심장비대,cardiac hypertrophy,좌심실비대,left ventricular hypertrophy
69,장기이식,organ transplantation,각막이식,corneal transplantation
70,아자티오프린,azathioprine,메토트렉세이트,methotrexate
71,위관절융기염,epicondylitis,외측상과염,lateral epicondylitis
72,열사병,heatstroke,일사병,sunstroke
73,치주병,periodontal disease,치주질환,periodontal disease
74,암피실린,ampicillin,페니실린,penicillin
75,자궁내막종,endometrioma,자궁내막증식증,endometrial hyperplasia
76,항결핵제,antituberculosis drugs,리팜핀,rifampin
